action0,action1,action2,action3
-5.332756,-3.721163,-11.27584,-12.61025
0,0,0,0
0,0,0,0
0,0,0,0
-0.9983616,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16.89416,1.743386,0,4.50662
18.12646,0,0,0
5.859508,-3.28728,0,0
-0.9744,-0.936,-9.129558,-6.165519
0,0,0,0
0,0,0,0
-3.878953,-4.935401,-12.32858,-14.68969
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-13.00361,-12.99892,-17.59723,-12.2478
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-3.801541,-6.888807,-10.77835,-12.56612
0,0,0,0
0,0,0,0
0,0,0,0
32.31914,-6.374681,-12.23709,-12.28977
0,0,0,0
0,0,0,0
0,0,0,0
-6.693133,-7.337494,-14.58738,-6
0,0,0,0
0,0,0,0
0,0,0,0
-6.695275,-9.702,-16.24132,-6.681655
-0.995904,0,0,0
-6.714513,-5.578851,-7.360509,17.61798
-0.6,0,0,0
15.67284,-15.0903,-7.202263,-14.06852
0,0,0,0
0,0,0,0
0,0,0,0
-0.5347809,-2.290717,-3.504791,-10.35915
0,0,0,0
0,0,0,0
0,0,0,0
15.48532,10.42738,-17.16064,-11.72705
0,0,0,0
0,0,0,0
0,0,0,0
-0.9744,-0.98976,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-4.16273,-3.681966,-12.59043,-11.24592
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-6.467087,-3.709881,-11.4889,-11.07527
0,0,0,0
-10.89577,0,0,0
-9.36,0,0,0
-18.80935,-13.04937,-10.48611,0
0,0,0,0
-4.570594,-2.856045,-11.80423,-7.102417
0,0,0,0
-13.87746,0,0,0
0,0,0,0
-0.9983616,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-5.728335,-2.8525,-12.29289,-12.58177
0,0,0,0
0,0,0,0
0,0,0,0
-6.568939,-5.112354,-13.42277,-13.95198
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-12.6354,-12.82117,-21.94625,-10.62653
-4.070807,-3.152214,-3.867081,-3.34056
-20.27862,-12.48559,-11.41244,-9.97921
-9.95904,-1.407665,0,0
-21.41967,-13.08078,-11.65659,-7.954407
-9.999653,-1.911201,0,0
-12.63763,-13.22935,-12.90571,-5.585225
-11.25671,-0.9993446,0,0
-9.8976,-14.40084,-11.01744,-4.610141
-0.936,0,0,0
28.3007,-5.979774,-5.71351,-10.46542
0,0,0,0
0,0,0,0
0,0,0,0
-6.694671,-7.201337,-11.56437,-11.76938
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
22.08136,-7.399909,-16.42584,-14.2018
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-1.510868,-8.412197,-5.260675,-13.12519
0,0,0,0
0,0,0,0
0,0,0,0
13.30341,9.953805,-10.86231,-15.02248
-7.619334,-4.964068,0,0
-5.763022,-3.7043,-17.06035,-3.142398
-1.874582,-0.9998952,-0.9993446,0
-12.31565,-4.514287,-13.76046,-3.97542
-0.9997379,-0.995904,0,0
-9.95904,-4.13256,-4.741704,-4.45466
-9.8976,-0.9744,-0.995904,0
-10.086,-4.00494,-4.925396,-3.683322
0,0,0,0
-4.45661,-3.313306,-2.828922,-12.66714
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-4.823595,-4.552491,-12.51184,-2.852504
0,0,0,0
-11.64438,-9.06227,-3.83431,-1.95
0,0,0,0
-1,-10.07604,-6.147704,-5.45979
0,0,0,0
-3.726207,-3.962784,-1.953293,-7.727879
0,0,0,0
-0.98976,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.9983616,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-3.601657,-1.95,-11.79189,-11.77097
0,0,0,0
0,0,0,0
0,0,0,0
-4.33791,-5.097585,-13.5187,-7.905498
0,0,0,0
0,0,0,0
-1.88684,-10.79468,0,0
0,0,0,0
-0.84,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-12.88528,-16.10637,-16.42147,-12.4443
-1.897206,-9.11417,-10.86769,-0.9744
-12.35103,-21.49935,-12.7853,-13.08964
-1.899089,-10.91778,-0.995904,-1.923584
-15.15875,-22.0351,-12.73328,-13.27179
-0.9744,-10.89645,-1.94552,-1
-6.941026,-13.60322,-12.95835,-15.02339
-0.995904,-9.95904,-1.737648,0
-6.712178,-11.83285,-8.684552,-6.827588
0,0,0,0
12.48681,-6.425839,-7.375956,-6.845809
0,0,0,0
-12.82872,-6.165994,-6.414347,-7.195687
0,0,0,0
-7.358615,-6.619881,-6.857584,-15.42952
0,0,0,0
0,0,0,0
-11.72259,0,0,0
-16.24668,-6.7,-14.8134,-7.357115
-9.95904,-1.773475,-0.98976,0
-16.85926,9.882266,-7.216094,-6.167529
-9.8976,-0.995904,0,0
-11.43521,-7.019602,-4.491898,-11.19876
0,0,0,0
0,0,0,0
0,0,0,0
-7.802694,-8.582537,-13.02106,-13.00366
